Reference,Qty,Value,DNP,Exclude from BOM,Footprint,Product Link
F1,1,Fuse,,,Fuse:Fuseholder_Blade_Mini_Keystone_3568,https://www.digikey.com/en/products/detail/keystone-electronics/3568/2137306?gclsrc=aw.ds&gad_source=1&gad_campaignid=120565755&gbraid=0AAAAADrbLljJY-sOyI2R6Gd-Rk8ABtPPZ&gclid=Cj0KCQjwmunNBhDbARIsAOndKpm86QxaanCsRDxt3d65Tgx3-najNLO1ZS2IZmlMaIR64niwdnLfb38aAnTkEALw_wcB
"H1,H2,H3,H4",4,No. 8,,,MountingHole:MountingHole_3.2mm_M3,
J1,1,MEGAFIT-2-VERT,,,Connector_Molex:Molex_Mega-Fit_76829-0102_2x01_P5.70mm_Vertical,https://www.digikey.com/en/products/detail/molex/0768290102/7604320
"J2,J3,J7,J9",4,MINIFIT-2-VERT,,,Connector_Molex:Molex_Mini-Fit_Jr_5566-02A_2x01_P4.20mm_Vertical,https://www.digikey.com/en/products/detail/molex/0039281023/61397
J4,1,MEGAFIT-2-VERT,,,Connector_Molex:Molex_Mega-Fit_76829-0102_2x01_P5.70mm_Vertical,https://www.digikey.com/en/products/detail/molex/0768290102/7604320
J5,1,Microfit 2 position,,,Connector_Molex:Molex_Micro-Fit_3.0_43650-0215_1x02_P3.00mm_Vertical,https://www.google.com/aclk?sa=L&ai=DChsSEwintb_GgKuTAxVsXP8BHekFKZAYACICCAEQCBoCbWQ&ae=2&co=1&ase=2&gclid=Cj0KCQjwmunNBhDbARIsAOndKplKIvkp4Z1YOeKEtBTO3lP-fQ4xwLdhiJY9qqgfWdkkFQxFEWYXHjYaAnyzEALw_wcB&cid=CAASugHkaB3vBsMdnevv2CuhrFzshz44TumQCy-zNQeIIxmWWbo9Tk3YXEHFErYg4NFxo2bAMBfbMliGU5Ju6zZdSakRsoGrj9iKH5ub1787B5ItzEEGD0bWd6zAzDuuHkofe1A1zgrpmY6kJpsB_tlMWQ4cJScchvHlcc0vJ5uhgeJ6YRLy1xxK3AzuIfnrOTJMNadrGhb8rPHreEXR7cQBV8EeusF9nV3rW2SIxsVCdCYMoEYeR5Pe-5D-tQk&cce=2&category=acrcp_v1_71&sig=AOD64_08Yaxym_0BKgbLLrQDN-mZAr3AYQ&ctype=5&q=&nis=4&ved=2ahUKEwibo7nGgKuTAxU4kokEHeltMdsQ5bgDKAB6BAgkEAs&adurl=
J6,1,MEGAFIT-2-VERT,,,Connector_Molex:Molex_Mega-Fit_76829-0004_2x02_P5.70mm_Vertical,https://www.digikey.com/en/products/detail/molex/0768290102/7604320
J8,1,pin header 1x02,,,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,https://www.digikey.com/en/products/detail/amphenol-icc-fci-/10129378-902002BLF/7915925?gclsrc=aw.ds&gad_source=1&gad_campaignid=17336967819&gbraid=0AAAAADrbLlg549JKDzAotTz6iDuus8fhO&gclid=Cj0KCQjwmunNBhDbARIsAOndKpkHOQyEPffp8JdXQRfXV91-LJqn_ypURrMfKfH1KaiVOwHMU6zuULwaAsTvEALw_wcB
PS1,1,IRM-60-12,,,Converter_ACDC:Converter_ACDC_MeanWell_IRM-60-xx_THT,https://www.digikey.com/en/products/detail/mean-well-usa-inc/IRM-60-12/7704688
U1,1,AC025-D24,,,GTSR_KiCAD_Footprints:AC025-D15,https://www.digikey.com/en/products/detail/adam-tech/AC025-D24/22469417
